fp,county,state,never,rarely,sometimes,frequently,always
29019,Callaway,MO,0.073,0.075,0.113,0.224,0.515
21027,Calloway,KY,0.023,0.146,0.177,0.138,0.517
55015,Calumet,WI,0.064,0.1,0.141,0.33,0.365
23031,Calvert,MD,0.076,0.036,0.061,0.173,0.655
16017,Camas,ID,0.088,0.116,0.119,0.241,0.436
42015,Cambria,PA,0.042,0.017,0.051,0.194,0.697
13033,Camden,GA,0.105,0.109,0.087,0.208,0.492
29021,Camden,MO,0.121,0.183,0.175,0.219,0.302
37023,Camden,NC,0.091,0.056,0.124,0.189,0.54
34001,Camden,NJ,0.019,0.041,0.03,0.176,0.734
22015,Cameron,LA,0.068,0.096,0.144,0.225,0.468
42017,Cameron,PA,0.014,0.018,0.032,0.131,0.805
48055,Cameron,TX,0.001,0.001,0.063,0.185,0.751
48057,Camp,TX,0.019,0.028,0.179,0.071,0.703
21029,Campbell,KY,0.037,0.091,0.156,0.181,0.535
46015,Campbell,SD,0.163,0.075,0.168,0.264,0.33
47007,Campbell,TN,0.082,0.122,0.131,0.251,0.415
51025,Campbell,VA,0.006,0.003,0.158,0.145,0.688
56005,Campbell,WY,0.216,0.164,0.131,0.201,0.289
40011,Canadian,OK,0.029,0.081,0.244,0.32,0.326
13035,Candler,GA,0.125,0.037,0.144,0.163,0.53
47009,Cannon,TN,0.069,0.089,0.097,0.183,0.562
16019,Canyon,ID,0.096,0.202,0.188,0.247,0.268
29023,Cape Girardeau,MO,0.189,0.175,0.16,0.135,0.342
34003,Cape May,NJ,0.02,0.014,0.053,0.151,0.762
30001,Carbon,MT,0.165,0.127,0.102,0.18,0.425
42019,Carbon,PA,0.035,0.062,0.062,0.194,0.647
49001,Carbon,UT,0.099,0.026,0.271,0.283,0.32
56007,Carbon,WY,0.044,0.137,0.087,0.278,0.454
16021,Caribou,ID,0.045,0.171,0.061,0.185,0.537
21031,Carlisle,KY,0.066,0.097,0.133,0.17,0.535
27009,Carlton,MN,0.084,0.139,0.209,0.147,0.42
24001,Caroline,MD,0.007,0.01,0.035,0.213,0.736
51027,Caroline,VA,0.037,0.099,0.219,0.181,0.463
5011,Carroll,AR,0.094,0.102,0.175,0.184,0.445
13037,Carroll,GA,0.013,0.035,0.043,0.172,0.737
19019,Carroll,IA,0.021,0.124,0.087,0.394,0.373
17007,Carroll,IL,0.025,0.006,0.065,0.244,0.66
18007,Carroll,IN,0.082,0.126,0.112,0.183,0.496
21033,Carroll,KY,0.059,0.067,0.26,0.177,0.438
24003,Carroll,MD,0.018,0.022,0.067,0.154,0.739
29025,Carroll,MO,0.109,0.133,0.211,0.18,0.367
28007,Carroll,MS,0.065,0.104,0.092,0.139,0.601
32033,Carroll,NH,0.059,0.016,0.208,0.421,0.296
39013,Carroll,OH,0.082,0.086,0.118,0.25,0.464
47011,Carroll,TN,0.121,0.098,0.126,0.282,0.373
51029,Carroll,VA,0.02,0.01,0.124,0.132,0.714
48059,Carson,TX,0.049,0.06,0.119,0.205,0.567
32029,Carson City,NV,0.015,0.038,0.039,0.126,0.782
21035,Carter,KY,0.066,0.084,0.248,0.17,0.432
29027,Carter,MO,0.123,0.12,0.217,0.196,0.344
30003,Carter,MT,0.136,0.196,0.147,0.25,0.271
40013,Carter,OK,0.094,0.087,0.125,0.237,0.457
47013,Carter,TN,0.059,0.075,0.204,0.109,0.554
37025,Carteret,NC,0.04,0.022,0.092,0.27,0.576
27011,Carver,MN,0.256,0.121,0.185,0.146,0.292
30005,Cascade,MT,0.287,0.08,0.188,0.252,0.192
21037,Casey,KY,0.073,0.085,0.134,0.278,0.43
19021,Cass,IA,0.183,0.062,0.26,0.207,0.288
17009,Cass,IL,0.18,0.099,0.136,0.2,0.385
18009,Cass,IN,0.093,0.152,0.106,0.203,0.447
26019,Cass,MI,0.01,0.049,0.062,0.164,0.715
27013,Cass,MN,0.065,0.078,0.146,0.276,0.435
29029,Cass,MO,0.266,0.093,0.147,0.124,0.371
38011,Cass,ND,0.188,0.141,0.146,0.262,0.263
31019,Cass,NE,0.065,0.113,0.104,0.327,0.391
48061,Cass,TX,0.035,0.061,0.034,0.056,0.813
16023,Cassia,ID,0.107,0.213,0.159,0.222,0.298
48063,Castro,TX,0.017,0.064,0.213,0.235,0.471
37027,Caswell,NC,0.028,0.031,0.072,0.199,0.67
22017,Catahoula,LA,0.058,0.079,0.158,0.209,0.497
37029,Catawba,NC,0.091,0.025,0.121,0.188,0.575
13039,Catoosa,GA,0.136,0.125,0.17,0.113,0.456
34039,Catron,NM,0.012,0.011,0.059,0.202,0.716
36003,Cattaraugus,NY,0.062,0.015,0.028,0.124,0.771
38013,Cavalier,ND,0.191,0.147,0.151,0.258,0.253
36005,Cayuga,NY,0.043,0.013,0.066,0.136,0.742
24005,Cecil,MD,0.013,0.024,0.043,0.142,0.777
19023,Cedar,IA,0.052,0.094,0.208,0.23,0.417
29031,Cedar,MO,0.08,0.109,0.137,0.285,0.389
31021,Cedar,NE,0.066,0.063,0.09,0.321,0.46
42021,Centre,PA,0.026,0.062,0.153,0.228,0.53
19025,Cerro Gordo,IA,0.212,0.117,0.213,0.153,0.304
8011,Chaffee,CO,0.033,0.036,0.172,0.191,0.567
1017,Chambers,AL,0.117,0.037,0.15,0.136,0.56
48065,Chambers,TX,0.099,0.064,0.124,0.252,0.462
17011,Champaign,IL,0.012,0.019,0.156,0.208,0.605
39015,Champaign,OH,0.177,0.177,0.101,0.128,0.417
